Rider_Link,Rider,Team,Class,Points,Cost,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20201254,Benjamin Thomas,Groupama - FDJ,Unclassed,8,4,0,0,0,0,0,0,0,8,8
riderprofile.php?rider=20201261,Alexander Cataford,Israel Start-Up Nation,Unclassed,8,4,0,0,0,0,0,0,0,8,8
riderprofile.php?rider=20201279,Guy Sagiv,Israel Start-Up Nation,Unclassed,8,4,0,0,0,0,0,0,0,8,8
riderprofile.php?rider=20201286,Sander Armée,Lotto Soudal,Unclassed,164,4,118,0,0,0,0,0,40,6,164
riderprofile.php?rider=20201298,Adam Hansen,Lotto Soudal,Unclassed,6,4,0,0,0,0,0,0,0,6,6
riderprofile.php?rider=20201305,Stefano Oldani,Lotto Soudal,Unclassed,224,4,198,0,0,0,0,0,20,6,224
riderprofile.php?rider=20201310,Harm Vanhoucke,Lotto Soudal,Unclassed,568,4,380,126,0,12,0,6,40,4,568
riderprofile.php?rider=20201318,Brent Bookwalter,Mitchelton-Scott,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201331,Cameron Meyer,Mitchelton-Scott,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201345,Héctor Carretero,Movistar Team,Unclassed,115,4,0,0,0,0,35,0,80,0,115
riderprofile.php?rider=20201358,Antonio Pedrero,Movistar Team,Unclassed,288,4,102,166,0,0,0,0,20,0,288
riderprofile.php?rider=20201362,Einer Augusto Rubio,Movistar Team,Unclassed,170,4,110,0,0,5,0,15,40,0,170
riderprofile.php?rider=20201366,Albert Torres,Movistar Team,Unclassed,135,4,95,0,0,0,0,0,40,0,135
riderprofile.php?rider=20201390,Matteo Sobrero,NTT Pro Cycling,Unclassed,247,4,182,29,0,0,0,0,20,16,247
riderprofile.php?rider=20201392,Dylan Sunderland,NTT Pro Cycling,Unclassed,16,4,0,0,0,0,0,0,0,16,16
riderprofile.php?rider=20201432,Tobias Foss,Team Jumbo-Visma,Unclassed,175,4,137,34,2,0,0,0,0,2,175
riderprofile.php?rider=20201444,Christoph Pfingsten,Team Jumbo-Visma,Unclassed,6,4,4,0,0,0,0,0,0,2,6
riderprofile.php?rider=20201459,Nico Denz,Team Sunweb,Unclassed,340,4,168,0,0,0,0,0,0,172,340
riderprofile.php?rider=20201483,Julien Bernard,Trek - Segafredo,Unclassed,46,4,0,0,0,0,0,0,40,6,46
riderprofile.php?rider=20201499,Antonio Nibali,Trek - Segafredo,Unclassed,6,4,0,0,0,0,0,0,0,6,6
riderprofile.php?rider=20202603,Simone Bevilacqua,Vini Zabù - KTM,Unclassed,4,4,0,0,0,0,0,0,0,4,4
riderprofile.php?rider=20202609,Marco Frapporti,Vini Zabù - KTM,Unclassed,154,4,0,0,0,0,70,0,80,4,154
riderprofile.php?rider=20202057,Matteo Spreafico,Vini Zabù - KTM,Unclassed,4,4,0,0,0,0,0,0,0,4,4
riderprofile.php?rider=20202617,Etienne Van Empel,Vini Zabù - KTM,Unclassed,139,4,70,0,0,0,5,0,60,4,139
riderprofile.php?rider=20202620,Edoardo Zardini,Vini Zabù - KTM,Unclassed,65,4,0,0,0,16,25,0,20,4,65
