Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20210295,Natnael Berhane,Cofidis,Unclassed,4,0.8%,12,0,0,0,0,0,0,0,12,12
riderprofile.php?rider=20210308,Victor Lafay,Cofidis,Unclassed,4,1.5%,248,220,0,0,0,0,0,20,8,248
riderprofile.php?rider=20210314,Rémy Rochas,Cofidis,Unclassed,4,1.0%,32,0,0,0,0,0,0,20,12,32
riderprofile.php?rider=20210315,Fabio Sabatini,Cofidis,Unclassed,4,1.3%,16,0,0,0,0,0,0,0,16,16
riderprofile.php?rider=20210319,Attilio Viviani,Cofidis,Unclassed,4,1.3%,16,0,0,0,0,0,0,0,16,16
riderprofile.php?rider=20210346,Pieter Serry,Deceuninck - Quick Step,Unclassed,4,4.5%,74,0,0,0,0,0,0,40,34,74
riderprofile.php?rider=20210403,Julius Van Den Berg,EF Education - Nippo,Unclassed,4,0.7%,16,4,0,0,0,0,0,0,12,16
riderprofile.php?rider=20210406,Vincenzo Albanese,EOLO-Kometa,Unclassed,4,2.8%,337,145,0,0,60,5,15,100,12,337
riderprofile.php?rider=20210410,Mark Christian,EOLO-Kometa,Unclassed,4,0.6%,77,0,0,0,0,25,0,40,12,77
riderprofile.php?rider=20210411,Márton Dina,EOLO-Kometa,Unclassed,4,0.8%,32,0,0,0,0,0,0,20,12,32
riderprofile.php?rider=20210414,Lorenzo Fortunato,EOLO-Kometa,Unclassed,4,0.5%,536,338,116,0,32,5,21,20,4,536
riderprofile.php?rider=20210420,Edward Ravasi,EOLO-Kometa,Unclassed,4,0.7%,20,8,0,0,0,0,0,0,12,20
riderprofile.php?rider=20210421,Samuele Rivi,EOLO-Kometa,Unclassed,4,0.1%,162,20,0,0,0,50,0,80,12,162
riderprofile.php?rider=20210493,Antoine Duchesne,Groupama - FDJ,Unclassed,4,0.4%,24,0,0,0,0,0,0,0,24,24
riderprofile.php?rider=20210497,Simon Guglielmi,Groupama - FDJ,Unclassed,4,0.3%,194,120,0,0,0,10,0,40,24,194
riderprofile.php?rider=20210510,Romain Seigle,Groupama - FDJ,Unclassed,4,0.2%,24,0,0,0,0,0,0,0,24,24
riderprofile.php?rider=20210515,Lars Van Den Berg,Groupama - FDJ,Unclassed,4,1.1%,100,30,0,0,6,0,0,40,24,100
riderprofile.php?rider=20210556,Quinten Hermans,Intermarché - Wanty - Gobert Matériaux,Unclassed,4,6.7%,319,216,0,0,0,15,0,80,8,319
riderprofile.php?rider=20210559,Wesley Kreder,Intermarché - Wanty - Gobert Matériaux,Unclassed,4,0.1%,28,0,0,0,0,0,0,20,8,28
riderprofile.php?rider=20210568,Taco Van Der Hoorn,Intermarché - Wanty - Gobert Matériaux,Unclassed,4,1.7%,384,290,0,4,0,10,0,80,0,384
riderprofile.php?rider=20210598,Guy Niv,Israel Start-Up Nation,Unclassed,4,0.6%,100,40,0,0,0,0,0,20,40,100
riderprofile.php?rider=20210619,Roger Kluge,Lotto Soudal,Unclassed,4,2.3%,160,119,3,0,0,0,0,20,18,160
riderprofile.php?rider=20210622,Tomasz Marczyński,Lotto Soudal,Unclassed,4,1.7%,16,0,0,0,0,0,0,0,16,16
riderprofile.php?rider=20210656,Einer Augusto Rubio,Movistar Team,Unclassed,4,3.1%,40,16,0,0,0,0,0,20,4,40
riderprofile.php?rider=20210660,Albert Torres,Movistar Team,Unclassed,4,1.2%,104,80,0,0,0,0,0,20,4,104
riderprofile.php?rider=20210754,Michael Hepburn,Team BikeExchange,Unclassed,4,1.6%,58,0,0,0,0,0,0,0,58,58
riderprofile.php?rider=20210757,Christopher Juul-Jensen,Team BikeExchange,Unclassed,4,1.3%,152,64,0,0,0,10,0,20,58,152
riderprofile.php?rider=20210761,Cameron Meyer,Team BikeExchange,Unclassed,4,2.3%,58,0,0,0,0,0,0,0,58,58
riderprofile.php?rider=20210766,Callum Scotson,Team BikeExchange,Unclassed,4,0.9%,58,0,0,0,0,0,0,0,58,58
riderprofile.php?rider=20210821,Koen Bouwman,Team Jumbo-Visma,Unclassed,4,3.2%,458,177,179,0,0,0,0,20,82,458
riderprofile.php?rider=20210834,Paul Martens,Team Jumbo-Visma,Unclassed,4,2.6%,82,0,0,0,0,0,0,0,82,82
riderprofile.php?rider=20210878,Bert-Jan Lindeman,Team Qhubeka ASSOS,Unclassed,4,0.3%,52,0,0,0,0,0,0,20,32,52
riderprofile.php?rider=20210883,Mauro Schmid,Team Qhubeka ASSOS,Unclassed,4,0.1%,264,220,0,0,0,0,0,20,24,264
riderprofile.php?rider=20210890,Łukasz Wiśniowski,Team Qhubeka ASSOS,Unclassed,4,0.6%,92,40,0,0,0,0,0,20,32,92
riderprofile.php?rider=20210922,Koen De Kort,Trek - Segafredo,Unclassed,4,2.2%,60,0,0,0,0,0,0,20,40,60
riderprofile.php?rider=20210926,Amanuel Ghebreigzabhier,Trek - Segafredo,Unclassed,4,0.8%,100,0,0,0,0,20,0,40,40,100
