Rider_Link,Rider,Team,Class,Cost,Selected,Points,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20220546,Michael Storer,Groupama - FDJ,Climber,6,4.1%,223,120,0,0,0,5,0,20,78,223
riderprofile.php?rider=20220571,Jonathan Castroviejo,INEOS Grenadiers,Unclassed,6,2.1%,434,188,0,0,0,0,4,20,222,434
riderprofile.php?rider=20220595,Dylan Van Baarle,INEOS Grenadiers,Unclassed,6,2.0%,427,161,0,0,0,0,0,40,226,427
riderprofile.php?rider=20220600,Sven Erik Bystrøm,Intermarché - Wanty - Gobert Matériaux,Unclassed,6,0.4%,50,0,0,0,0,20,0,20,10,50
riderprofile.php?rider=20220613,Louis Meintjes,Intermarché - Wanty - Gobert Matériaux,Climber,6,5.2%,894,380,339,0,62,2,65,40,6,894
riderprofile.php?rider=20220616,Andrea Pasqualon,Intermarché - Wanty - Gobert Matériaux,Sprinter,6,0.1%,227,214,3,0,0,0,0,0,10,227
riderprofile.php?rider=20220624,Taco Van Der Hoorn,Intermarché - Wanty - Gobert Matériaux,Unclassed,6,6.3%,258,180,0,0,0,32,0,40,6,258
riderprofile.php?rider=20220629,Georg Zimmermann,Intermarché - Wanty - Gobert Matériaux,Unclassed,6,0.4%,140,110,0,0,0,0,0,20,10,140
riderprofile.php?rider=20220634,Guillaume Boivin,Israel - Premier Tech,Unclassed,6,0.3%,38,16,0,0,0,0,0,0,22,38
riderprofile.php?rider=20220637,Simon Clarke,Israel - Premier Tech,Unclassed,6,1.5%,296,236,0,0,0,16,0,40,4,296
riderprofile.php?rider=20220647,Hugo Houle,Israel - Premier Tech,Unclassed,6,0.3%,580,414,35,0,0,20,19,80,12,580
riderprofile.php?rider=20220662,Tiesj Benoot,Jumbo-Visma,Unclassed,6,4.6%,364,24,0,0,0,6,10,20,304,364
riderprofile.php?rider=20220674,Steven Kruijswijk,Jumbo-Visma,All Rounder,6,2.5%,332,95,35,0,0,2,0,0,200,332
riderprofile.php?rider=20220676,Christophe Laporte,Jumbo-Visma,Sprinter,6,1.4%,968,506,9,94,0,47,0,20,292,968
riderprofile.php?rider=20220722,Philippe Gilbert,Lotto Soudal,Unclassed,6,3.0%,60,4,0,0,0,16,0,40,0,60
riderprofile.php?rider=20221286,Reinardt Janse van Rensburg,Lotto Soudal,Sprinter,6,0.2%,11,8,0,0,0,3,0,0,0,11
riderprofile.php?rider=20220726,Andreas Kron,Lotto Soudal,Unclassed,6,2.0%,227,175,0,0,0,12,0,40,0,227
riderprofile.php?rider=20220733,Brent Van Moer,Lotto Soudal,Unclassed,6,0.3%,10,0,0,0,0,10,0,0,0,10
riderprofile.php?rider=20220763,Gorka Izagirre,Movistar Team,Unclassed,6,1.2%,44,0,0,0,0,2,0,40,2,44
riderprofile.php?rider=20220765,Matteo Jorgenson,Movistar Team,Unclassed,6,3.1%,545,400,50,0,0,13,10,60,12,545
riderprofile.php?rider=20220772,Nelson Oliveira,Movistar Team,Unclassed,6,0.6%,58,0,0,0,0,16,10,20,12,58
