Rider_Link,Rider,Team,Class,Points,Cost,Stg,GC,PC,KOM,Spr,Sum,Bky,Ass,Tot
riderprofile.php?rider=20201322,Tsgabu Grmay,Mitchelton-Scott,Unclassed,12,4,0,0,0,0,0,0,0,12,12
riderprofile.php?rider=20201336,Callum Scotson,Mitchelton-Scott,Unclassed,32,4,0,0,0,0,0,0,20,12,32
riderprofile.php?rider=20201343,Jorge Arcas,Movistar Team,Unclassed,207,4,0,0,0,0,5,0,20,182,207
riderprofile.php?rider=20201349,Imanol Erviti,Movistar Team,Unclassed,202,4,0,0,0,0,0,0,20,182,202
riderprofile.php?rider=20201375,Nic Dlamini,NTT Pro Cycling,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20201385,Gino Mäder,NTT Pro Cycling,Unclassed,353,4,252,76,0,0,0,25,0,0,353
riderprofile.php?rider=20201436,Lennard Hofstede,Team Jumbo-Visma,Unclassed,268,4,0,0,0,0,0,0,0,268,268
riderprofile.php?rider=20201442,Paul Martens,Team Jumbo-Visma,Unclassed,268,4,0,0,0,0,0,0,0,268,268
riderprofile.php?rider=20201454,Thymen Arensman,Team Sunweb,Unclassed,406,4,345,0,0,0,15,0,40,6,406
riderprofile.php?rider=20201460,Mark Donovan,Team Sunweb,Unclassed,386,4,275,0,0,0,5,18,80,8,386
riderprofile.php?rider=20201467,Max Kanter,Team Sunweb,Unclassed,449,4,445,0,0,0,0,0,0,4,449
riderprofile.php?rider=20201477,Martin Salmon,Team Sunweb,Unclassed,6,4,0,0,0,0,0,0,0,6,6
riderprofile.php?rider=20201482,Ilan Van Wilder,Team Sunweb,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20202559,Valentin Ferron,Team Total Direct Energie,Unclassed,9,4,4,0,0,0,5,0,0,0,9
riderprofile.php?rider=20202567,Paul Ourselin,Team Total Direct Energie,Unclassed,0,4,0,0,0,0,0,0,0,0,0
riderprofile.php?rider=20202570,Romain Sicard,Team Total Direct Energie,Unclassed,16,4,16,0,0,0,0,0,0,0,16
riderprofile.php?rider=20201488,Koen De Kort,Trek - Segafredo,Unclassed,16,4,16,0,0,0,0,0,0,0,16
riderprofile.php?rider=20201505,Michel Ries,Trek - Segafredo,Unclassed,5,4,0,0,0,0,5,0,0,0,5
riderprofile.php?rider=20201530,Ivo Oliveira,UAE-Team Emirates,Unclassed,141,4,78,0,0,0,5,6,0,52,141
